Ticker,Stock Name,Share Average,Current Price,Return,Date,Time
DSWL,Deswell Industries,2.5201,2.4600,-0.06009999999999982,21-05-24,18:05:05
SICAGEN.BO,SICAGEN INDIA LTD.,64.16,64.16,0.0,21-05-24,18:05:06
CBR.V,Cabral Gold Inc,0.205,0.2050,0.0,21-05-24,18:05:06
MONGIPA.BO,MOONGIPA CAPITAL FINANCE LTD.,29.01,29.01,0.0,21-05-24,18:05:07
