Ticker,Stock Name,Share Average,Current Price,Return,Date,Time
DSWL,Deswell Industries,2.5201,2.4500,-0.07009999999999961,22/05/24,01:50:52
SICAGEN.BO,SICAGEN INDIA LTD.,64.16,64.16,0.0,22/05/24,01:50:53
CBR.V,Cabral Gold Inc,0.205,0.2050,0.0,22/05/24,01:50:54
MONGIPA.BO,MOONGIPA CAPITAL FINANCE LTD.,29.01,29.01,0.0,22/05/24,01:50:55
SRNE,"""Sorrento Therapeutics",0.013,0.0130,0.0,22/05/24,01:50:56
OLYOI.BO,OLYMPIC OIL INDUSTRIES LTD.,61.64,61.64,0.0,22/05/24,01:50:57
VGB.AX,"Vanguard Australian Government Bond Index
",46.0,46.00,0.0,22/05/24,01:50:58
300005.SZ,TOREAD,6.07,6.07,0.0,22/05/24,01:50:59
